
Begin Step 0, Time: 0.01, Redshift: 99, Nf = 0134217728, Systemstep: 0, Dloga: 0
Begin Step 92, Time: 0.0777365, Redshift: 11.864, Nf = 0131372594, Systemstep: 0.000696064, Dloga: 0.00899447

Begin Step 93, Time: 0.0784389, Redshift: 11.7488, Nf = 0000000002, Systemstep: 0.000702353, Dloga: 0.00899447

Begin Step 94, Time: 0.0791476, Redshift: 11.6346, Nf = 0052240018, Systemstep: 0.000708699, Dloga: 0.00899447

Begin Step 95, Time: 0.0798627, Redshift: 11.5215, Nf = 0000000003, Systemstep: 0.000715102, Dloga: 0.00899447

Begin Step 96, Time: 0.0805842, Redshift: 11.4094, Nf = 0134217728, Systemstep: 0.000721563, Dloga: 0.00899447

Begin Step 97, Time: 0.0813123, Redshift: 11.2983, Nf = 0000000005, Systemstep: 0.000728082, Dloga: 0.00899447

Begin Step 98, Time: 0.082047, Redshift: 11.1881, Nf = 0062253526, Systemstep: 0.00073466, Dloga: 0.00899447

Begin Step 99, Time: 0.0827883, Redshift: 11.079, Nf = 0000000008, Systemstep: 0.000741298, Dloga: 0.00899447

Begin Step 100, Time: 0.0835363, Redshift: 10.9709, Nf = 0131979648, Systemstep: 0.000747996, Dloga: 0.00899447

Begin Step 101, Time: 0.084291, Redshift: 10.8637, Nf = 0000000013, Systemstep: 0.000754754, Dloga: 0.00899447

Begin Step 102, Time: 0.0850526, Redshift: 10.7574, Nf = 0062545292, Systemstep: 0.000761573, Dloga: 0.00899447

Begin Step 103, Time: 0.0854359, Redshift: 10.7047, Nf = 0000000002, Systemstep: 0.000383363, Dloga: 0.00449724

Begin Step 104, Time: 0.085821, Redshift: 10.6522, Nf = 0000000021, Systemstep: 0.000385091, Dloga: 0.00449724

Begin Step 105, Time: 0.0862079, Redshift: 10.5999, Nf = 0000000002, Systemstep: 0.000386827, Dloga: 0.00449724

Begin Step 106, Time: 0.0865964, Redshift: 10.5478, Nf = 0134217728, Systemstep: 0.00038857, Dloga: 0.00449724

Begin Step 107, Time: 0.0869868, Redshift: 10.496, Nf = 0000000002, Systemstep: 0.000390322, Dloga: 0.00449724

Begin Step 108, Time: 0.0873788, Redshift: 10.4444, Nf = 0000000061, Systemstep: 0.000392081, Dloga: 0.00449724

Begin Step 109, Time: 0.0877727, Redshift: 10.3931, Nf = 0000000002, Systemstep: 0.000393848, Dloga: 0.00449724

Begin Step 110, Time: 0.0881683, Redshift: 10.3419, Nf = 0072241316, Systemstep: 0.000395623, Dloga: 0.00449724

Begin Step 111, Time: 0.0885657, Redshift: 10.2911, Nf = 0000000003, Systemstep: 0.000397407, Dloga: 0.00449724

Begin Step 112, Time: 0.0889649, Redshift: 10.2404, Nf = 0000000082, Systemstep: 0.000399198, Dloga: 0.00449724

Begin Step 113, Time: 0.0893659, Redshift: 10.1899, Nf = 0000000006, Systemstep: 0.000400997, Dloga: 0.00449724

Begin Step 114, Time: 0.0897687, Redshift: 10.1397, Nf = 0132461042, Systemstep: 0.000402805, Dloga: 0.00449724

Begin Step 115, Time: 0.0901733, Redshift: 10.0898, Nf = 0000000006, Systemstep: 0.00040462, Dloga: 0.00449724

Begin Step 116, Time: 0.0905798, Redshift: 10.04, Nf = 0000000114, Systemstep: 0.000406444, Dloga: 0.00449724

Begin Step 117, Time: 0.0909881, Redshift: 9.99045, Nf = 0000000013, Systemstep: 0.000408276, Dloga: 0.00449724

Begin Step 118, Time: 0.0913982, Redshift: 9.94114, Nf = 0072515368, Systemstep: 0.000410116, Dloga: 0.00449724

Begin Step 119, Time: 0.0918101, Redshift: 9.89204, Nf = 0000000013, Systemstep: 0.000411965, Dloga: 0.00449724

Begin Step 120, Time: 0.092224, Redshift: 9.84317, Nf = 0000000143, Systemstep: 0.000413822, Dloga: 0.00449724

Begin Step 121, Time: 0.0926396, Redshift: 9.79451, Nf = 0000000020, Systemstep: 0.000415687, Dloga: 0.00449724

Begin Step 122, Time: 0.0930572, Redshift: 9.74608, Nf = 0134217728, Systemstep: 0.000417561, Dloga: 0.00449724

Begin Step 123, Time: 0.0934766, Redshift: 9.69786, Nf = 0000000027, Systemstep: 0.000419443, Dloga: 0.00449724

Begin Step 124, Time: 0.093898, Redshift: 9.64986, Nf = 0000000473, Systemstep: 0.000421333, Dloga: 0.00449724

Begin Step 125, Time: 0.0943212, Redshift: 9.60207, Nf = 0000000039, Systemstep: 0.000423232, Dloga: 0.00449724

Begin Step 126, Time: 0.0947464, Redshift: 9.5545, Nf = 0077175541, Systemstep: 0.00042514, Dloga: 0.00449724

Begin Step 127, Time: 0.0951734, Redshift: 9.50714, Nf = 0000000047, Systemstep: 0.000427056, Dloga: 0.00449724

Begin Step 128, Time: 0.0956024, Redshift: 9.45999, Nf = 0000000594, Systemstep: 0.000428981, Dloga: 0.00449724

